regno,charity_name,legacy_income,voluntary_income,total_income,total_expenditure
293851,THE INSTITUTE OF PHYSICS,0,0,47281000,44658000
207720,THE ROYAL NATIONAL INSTITUTE FOR DEAF PEOPLE,7953000,13936000,47258000,44626000
1106969,WIRRAL PARTNERSHIP HOMES LIMITED,0,0,47051000,48319000
1034245,CYNGOR CELFYDDYDAU CYMRU,0,32365000,46476000,47028000
250840,MACINTYRE CARE,289000,511000,46360000,45478000
1079309,THE FOOTBALL FOUNDATION,0,46140890,46140890,41235423
1074701,THE WREKIN HOUSING TRUST LIMITED,0,0,45927000,40816000
235822,SS. JOHN AND ELIZABETH CHARITY,478000,1523000,45747000,43926000
1120920,HELP FOR HEROES,851000,36439000,45723000,49613000
288701,WATERAID,2537000,34441000,45611000,45232000
801571,THE BRANDON TRUST,0,275539,45481153,44995028
1079666,"THE MUSEUMS, LIBRARIES AND ARCHIVES COUNCIL",0,42264821,45354805,59232328
1092193,BRE TRUST,0,0,44504000,43236000
298909,SOUTHBANK CENTRE,0,27638000,44474000,49791000
1091043,THE CHILDREN'S INVESTMENT FUND FOUNDATION (UK),0,26437280,44257859,44139424
1079836,SKILLS FOR CARE LTD,0,0,44204706,40582856
802052,THE BBC CHILDREN IN NEED APPEAL,1470000,39917000,44204000,46974000
1065972,"INTERNATIONAL RESCUE COMMITTEE, U.K",0,406000,43889000,40219000
800797,THE DISABILITIES TRUST,-2000,347355,43691883,37775139
209631,IMPERIAL CANCER RESEARCH FUND,43427000,43427000,43427000,43427000
312612,THE WHITGIFT FOUNDATION,0,162443,43411831,45899157
287780,THE BRITISH FILM INSTITUTE,0,24599000,43263000,42443000
230165,SOCIETY OF JESUS TRUST OF 1929 FOR ROMAN CATHOLIC PURPOSES,971000,4462000,43098000,35851000
1132208,THE METHODIST CHURCH IN GREAT BRITAIN,2809000,23416000,42900000,55494000
1116530,LIVABILITY,2977000,6383000,42686000,40524000
1104746,CROSS KEYS HOMES LIMITED,0,0,42465389,49469219
221124,CHURCH OF ENGLAND CHILDREN'S SOCIETY,6627000,23147000,42365000,42548000
1132771,OUTWOOD GRANGE ACADEMIES TRUST,NA,NA,42281000,18190000
232709,LIVERPOOL ROMAN CATHOLIC ARCHDIOCESAN TRUST,763947,13335924,42058239,43681409
529589,YORK ST JOHN UNIVERSITY,NA,NA,41985000,39852000
1119322,CABOT LEARNING FEDERATION,NA,NA,41671000,19067000
1108793,YARLINGTON HOUSING GROUP,0,0,41650538,33263357
802038,ROTHAMSTED RESEARCH LIMITED,0,2984000,41432000,36422000
200719,THE ABBEYFIELD SOCIETY,1716000,1716000,41092000,35128000
1035628,BRIDGE HOUSE ESTATES,0,0,40800000,34200000
313069,HF TRUST LIMITED,718000,3637000,40784000,38167000
207890,THE ROYAL SOCIETY OF CHEMISTRY,89610,146000,40749000,37612000
326550,SUSTRANS LIMITED,0,2869734,40715380,39783920
290859,THE ALICE TRUST,0,33726363,40388407,9515837
1091768,"NATIONAL CENTRE FOR SOCIAL RESEARCH",0,0,40366113,39786381
1096526,PRE-SCHOOL LEARNING ALLIANCE,0,303000,40197000,41555000
310033,THE KEEPERS AND GOVERNORS OF THE FREE GRAMMAR SCHOOL OF JOHN LYON,814432,4437000,39957000,35118000
310283,MILLFIELD,0,39000,39940000,38372000
298149,CHOICE SUPPORT,0,244947,39679592,39003341
1074574,SOMER COMMUNITY HOUSING TRUST,0,0,39508000,29396000
1106102,ERIMUS HOUSING LIMITED,0,0,39354000,29211000
1090163,THERA TRUST,0,18054,39275953,40247454
207711,ARTHRITIS RESEARCH UK,19525000,22860000,39265000,37554000
1002775,THE NATIONAL INSTITUTE OF ADULT CONTINUING EDUCATION (ENGLAND AND WALES),0,121000,39220000,39222000
1064397,POPLAR HOUSING AND REGENERATION COMMUNITY ASSOCIATION LIMITED,0,677000,38826000,36726000
207360,THE ROYAL MASONIC BENEVOLENT INSTITUTION,1934000,5689000,38480000,36144000
291558,THE FEDERATION OF GROUNDWORK TRUSTS,0,3486006,38257028,37657396
233480,THE SERVICES SOUND AND VISION CORPORATION,0,0,38111000,32489000
1001957,ADDACTION,0,1198603,37231600,38018441
1020101,BLACKBURN DIOCESAN BOARD OF EDUCATION,0,36119000,37169000,36724000
233699,WESTMINSTER ROMAN CATHOLIC DIOCESAN TRUST AND OTHER TRUST FUNDS ADMINISTERED BY THE WESTMINSTER ROMAN CATHOLIC DIOCESAN TRUSTEE,1011000,23830000,36955000,31533000
309267,UNITED WESTMINSTER SCHOOLS FOUNDATION,0,15880000,36523000,55189000
1079675,THE PRINCE'S TRUST,801000,18339000,36395000,38289000
1106967,TRAFFORD HOUSING TRUST LIMITED,0,0,36287040,35140218
1073332,WJEC CBAC LIMITED,0,12000,36249000,32996000
210566,ROYAL INSTITUTE OF BRITISH ARCHITECTS,0,462000,36110000,34785000
1053902,THE BABRAHAM INSTITUTE,0,21345000,35800000,30964000
242451,THE CHURCH OF JESUS CHRIST OF LATTER-DAY SAINTS (GREAT BRITAIN),0,33309000,35673000,35998000
231060,THE CHARTERED INSTITUTE OF PUBLIC FINANCE AND ACCOUNTANCY,3000,3000,35608000,31572000
298096,METROPOLITAN SUPPORT TRUST,0,0,35408000,36262000
223852,JOHN INNES CENTRE,0,0,35388000,30761000
1105278,WIGAN LEISURE AND CULTURE TRUST,0,16731518,35225780,34949862
1014986,THE FREMANTLE TRUST,0,0,35034000,35183000
287120,CROSSCO (1045),0,65000,34877000,34870000
1093739,THE EMMANUEL SCHOOLS FOUNDATION,NA,NA,34834818,34855778
1083008,THE MINES ADVISORY GROUP,1736,794335,34697101,31840531
1107737,FUSION LIFESTYLE,0,0,34686881,34163678
261009,BTCV,75000,2714000,34498000,35013000
1016972,THE ROYAL COLLECTION TRUST,0,0,34421000,32513000
1014697,CARE SOUTH,99000,99000,34235000,32334000
311096,THE ASHRIDGE (BONAR LAW MEMORIAL) TRUST,0,0,34227000,34277000
1059050,NORWOOD RAVENSWOOD,1930000,10026000,34023000,33917000
292880,THE HOSPITAL MANAGEMENT TRUST,0,4431,33846644,32819059
1126291,INTERNATIONAL BACCALAUREATE ORGANIZATION (UK) LIMITED,0,78000,33833000,36077000
257210,ENGLISH NATIONAL OPERA,15273,20511000,33790000,33949000
1133373,UNITED REFORMED CHURCH TRUST,816000,28949000,33726000,27646000
1099725,FOCUS LEARNING TRUST,0,3211509,33649859,35629714
1053866,THE FAMILY FUND TRUST FOR FAMILIES WITH SEVERELY DISABLED CHILDREN,0,4000,33595000,33743000
291583,REGENT'S COLLEGE,0,0,33573000,32849000
292182,THE ASSOCIATED BOARD OF THE ROYAL SCHOOLS OF MUSIC,49000,49000,33471101,32536392
1074481,WILLOW PARK HOUSING TRUST LIMITED,0,0,33463674,30621444
203644,CATS PROTECTION,19084000,28795000,33417000,36941000
1086915,YOUTH SPORT TRUST,0,32211476,33404246,32646321
