justgiving_id,charity_registration_id,charity_name,charity_url
,290544,,
69008,310870,Felsted Tag 5,https://www.justgiving.com/felstedschool
,525934,,
,312748,,
183073,1043129,Hollybank,https://www.justgiving.com/hbt
183841,258825,NCB,https://www.justgiving.com/n-c-b
144932,1094467,Earthwatch,https://www.justgiving.com/earthwatch
,1098236,,
2808505,312612,John Whitgift Foundation,https://www.justgiving.com/thewhitgiftfoundation
15786,207782,St Christopher's Fellowship,https://www.justgiving.com/st-christophers-fellowship
,254543,,
,1050146,,
,527618,,
,1088415,,
,1088030,,
,311056,,
,1002727,,
2645129,1081898,Reigate Grammar School Foundation,https://www.justgiving.com/reigategrammarschool
113468,1060941,Framework,https://www.justgiving.com/framework
410133,1026475,Spectrum,https://www.justgiving.com/spectrum-asd
11066,1063717,Autism Anglia,https://www.justgiving.com/autismanglia
,207890,,
221,234887,Turning Point,https://www.justgiving.com/turningpoint
,1109650,,
,1092932,,
,529834,,
,229662,,
188309,201555,Brunelcare,https://www.justgiving.com/brunelcare
,1071298,,
,312765,,
,1076822,,
,311780,,
,527276,,
,1002775,,
,1071997,,
,288285,,
187011,294555,Hestia Housing and Support,https://www.justgiving.com/hestia
3221400,1057744,The Royal College of Paediatrics and Child Health,https://www.justgiving.com/rcpch1
,264873,,
3069615,311270,100 years of education at Taverham Hall & the BHF 60th anniversary,https://www.justgiving.com/langleyschool
,1017853,,
,1037868,,
,1014697,,
,311714,,
183490,1093070,Eden Project,https://www.justgiving.com/edenproject
,309482,,
189111,311735,Clifton College,https://www.justgiving.com/clifton-college
3127128,1112775,The Workers' Educational Association,https://www.justgiving.com/w-e-a
,1053937,,
,284880,,
184589,312745,Francis Holland Schools Trust,https://www.justgiving.com/fhst
189564,512907,Making Space,https://www.justgiving.com/makingspace
,527578,,
,309678,,
16666,209782,Together Trust,https://www.justgiving.com/togethertrust
52644,1018963,The Adolescent And Children's Trust (TACT),https://www.justgiving.com/tactcare
,312677,,
,1130254,,
,515517,,
,1126291,,
,1098740,,
188327,254140,Rapport Housing & Care,https://www.justgiving.com/thewishappeal
,1057611,,
,1081249,,
,1075125,,
113076,1060478,Greensleeves Homes Trust,https://www.justgiving.com/greensleeveshomestrust
,287120,,
52304,284967,Mission Care,https://www.justgiving.com/missioncare
,1076498,,
801769,1125376,Woldingham School Foundation,https://www.justgiving.com/woldingham-school
,311073,,
,281242,,
186175,310493,Ipswich School,https://www.justgiving.com/ipswichschool
,1101485,,
,200453,,
,1115638,,
,309639,,
,1077017,,
187553,1038860,Frontline AIDS,https://www.justgiving.com/aidsalliance
,292182,,
3054306,527180,Trent College,https://www.justgiving.com/trentcollege
,294377,,
,310864,,
,1105751,,
,310208,,
188810,514829,Mental Health Matters,https://www.justgiving.com/mentalhealthmatterssunderland
3100262,1086829,The Dean Close Foundation,https://www.justgiving.com/thedeanclosefoundation
,1015059,,
,309115,,
,311740,,
2656275,515755,Humankind Charity,https://www.justgiving.com/HumankindCharity
,260059,,
,310283,,
,307332,,
,510809,,
2449837,307063,Roedean School,https://www.justgiving.com/roedean-school
,313996,,
,312832,,
,234252,,
130199,1079327,Change Grow Live,https://www.justgiving.com/change-grow-live
,312762,,
,1103326,,
184176,504913,Linkage Community Trust Ltd,https://www.justgiving.com/linkage
719243,294832,Walsingham Support,https://www.justgiving.com/walsingham-support
2358532,502224,St Anne's Community Services,https://www.justgiving.com/stannescommunity-services
,205913,,
,294745,,
,1120949,,
,306576,,
,1098586,,
2571591,1110964,Woodbridge School Seckford Foundation,https://www.justgiving.com/seckfordfoundation
189312,233176,The British Academy,https://www.justgiving.com/britac
86605,1028260,North East Autism Society,https://www.justgiving.com/ne-as
,269433,,
102723,1048355,OSJCT,https://www.justgiving.com/osjct
,529205,,
